Date;Name;Type;Quantity;Price;Price Currency;Fees;Fees Currency;Shares;Amount;Amount Currency;Asset Class;Matched
16.01.19;Aurora Cannabis Inc;Long buy;230.00;Jun.30;EUR;--;EUR;;;;Equities;x
21.01.19;Aurora Cannabis Inc;Long buy;165.00;May.70;EUR;--;EUR;;;;Equities;x
08.02.19;Apple Inc;Dividend;;;;--;;10.00;0.73;USD;Equities;x
12.02.19;BlueStar Israel Technology ETF;Long sell;65.00;34.68;USD;--;USD;;;;ETFs;x
14.02.19;CannaRoyalty Corp;Long sell;324.00;06.Nov;EUR;--;EUR;;;;Equities;x
19.02.19;Medipharm Labs Corp;Long buy;450.00;Feb.99;CAD;--;CAD;;;;Equities;x
14.03.19;iShares MSCI Korea UCITS ETF USD (Dist);Dividend;;;;--;;48.00;0.4358;EUR;ETFs;x
18.03.19;Amphenol Corp;Dividend;;;;--;;13.00;0.2028;EUR;Equities;x
25.03.19;Aurora Cannabis Inc;Long sell;130.00;Jul.83;EUR;--;EUR;;;;Equities;x
25.03.19;CannaRoyalty Corp;Long sell;140.00;Jun.94;EUR;--;EUR;;;;Equities;x
25.03.19;iAnthus Capital Holdings Inc;Long sell;190.00;May.16;EUR;--;EUR;;;;Equities;x
26.03.19;Auscann Group Holdings Ltd;Long buy;6,000.00;0.270;EUR;--;EUR;;;;Equities;x
16.04.19;Medipharm Labs Corp;Long buy;270.00;May.77;CAD;--;CAD;;;;Equities;x
03.05.19;Aurora Cannabis Inc;Long sell;310.00;Jul.87;EUR;--;EUR;;;;Equities;x
03.05.19;Medipharm Labs Corp;Long buy;500.00;May.33;CAD;--;CAD;;;;Equities;x
